Proj_Contact_Name,ORCID,ORCID_Exist,affiliation,alias
"Wullschleger, Stan",,N,,
"Wunch, Debra",,N,,
"Xiao, Ming",,N,,
"Yang, Yaling",,N,,
"York, Abigail",,N,,
"Yoshikawa, Kenji",,N,,
"Young, Jessica",,N,,
"Yu, Zicheng",,N,,
"Zak, Bernie",,N,,
"Zhang, Xiong",,N,,
"Zheleznyak, Mikail",,N,,
"Zhou, Guangsheng",,N,,
"Zhou, Mei",,N,,
"Zhou, Mingxi",https://orcid.org/0000-0002-7081-0901,Y,,
"Zhuang, Qianlai",,N,,
"Zibordi, Giuseppe",,,,
"Ziker, John",,,,
"Zimov, Sergey",,,,
Zofia Rączkowska,,,,
"Zona, Donatella",https://orcid.org/0000-0002-0003-4839,,,
